year,quarter,month,tpu
2000,1,1,38.2
2000,1,2,14.7
2000,1,3,8.9
2000,2,4,8.9
2000,2,5,0.0
2000,2,6,18.0
2000,3,7,37.8
2000,3,8,17.7
2000,3,9,51.1
2000,4,10,58.6
2000,4,11,0.0
2000,4,12,40.4
2001,1,1,41.8
2001,1,2,21.6
2001,1,3,113.1
2001,2,4,37.1
2001,2,5,9.9
2001,2,6,46.8
2001,3,7,54.9
2001,3,8,35.0
2001,3,9,49.1
2001,4,10,89.2
2001,4,11,134.7
2001,4,12,160.3
2002,1,1,94.2
2002,1,2,73.6
2002,1,3,160.8
2002,2,4,34.2
2002,2,5,112.5
2002,2,6,55.8
2002,3,7,130.1
2002,3,8,39.1
2002,3,9,96.0
2002,4,10,129.2
2002,4,11,37.8
2002,4,12,143.1
2003,1,1,46.3
2003,1,2,18.7
2003,1,3,80.4
2003,2,4,92.7
2003,2,5,65.1
2003,2,6,7.0
2003,3,7,39.0
2003,3,8,47.5
2003,3,9,29.3
2003,4,10,76.2
2003,4,11,41.0
2003,4,12,49.1
2004,1,1,44.5
2004,1,2,53.3
2004,1,3,44.6
2004,2,4,50.4
2004,2,5,37.5
2004,2,6,58.6
2004,3,7,13.3
2004,3,8,0.0
2004,3,9,54.7
2004,4,10,58.8
2004,4,11,41.9
2004,4,12,54.4
2005,1,1,39.6
2005,1,2,42.1
2005,1,3,52.9
2005,2,4,35.7
2005,2,5,0.0
2005,2,6,16.1
2005,3,7,59.6
2005,3,8,18.6
2005,3,9,50.7
2005,4,10,123.2
2005,4,11,43.2
2005,4,12,65.8
2006,1,1,59.1
2006,1,2,44.1
2006,1,3,77.8
2006,2,4,30.6
2006,2,5,0.0
2006,2,6,8.1
2006,3,7,56.7
2006,3,8,50.6
2006,3,9,8.7
2006,4,10,23.6
2006,4,11,8.9
2006,4,12,8.1
2007,1,1,0.0
2007,1,2,26.0
2007,1,3,0.0
2007,2,4,0.0
2007,2,5,0.0
2007,2,6,0.0
2007,3,7,8.4
2007,3,8,0.0
2007,3,9,36.9
2007,4,10,13.5
2007,4,11,26.0
2007,4,12,17.9
2008,1,1,25.6
2008,1,2,38.7
2008,1,3,110.8
2008,2,4,29.7
2008,2,5,35.4
2008,2,6,50.4
2008,3,7,159.9
2008,3,8,91.8
2008,3,9,121.5
2008,4,10,126.9
2008,4,11,109.6
2008,4,12,56.3
2009,1,1,50.7
2009,1,2,83.3
2009,1,3,120.3
2009,2,4,56.6
2009,2,5,12.2
2009,2,6,95.1
2009,3,7,39.8
2009,3,8,97.2
2009,3,9,207.7
2009,4,10,91.9
2009,4,11,261.8
2009,4,12,46.7
2010,1,1,132.2
2010,1,2,41.3
2010,1,3,260.8
2010,2,4,122.4
2010,2,5,79.8
2010,2,6,138.1
2010,3,7,35.2
2010,3,8,27.6
2010,3,9,138.0
2010,4,10,64.6
2010,4,11,118.7
2010,4,12,85.8
2011,1,1,144.0
2011,1,2,15.1
2011,1,3,68.7
2011,2,4,150.5
2011,2,5,11.8
2011,2,6,76.1
2011,3,7,0.0
2011,3,8,23.6
2011,3,9,140.2
2011,4,10,195.0
2011,4,11,236.6
2011,4,12,97.6
2012,1,1,61.1
2012,1,2,63.1
2012,1,3,119.8
2012,2,4,105.7
2012,2,5,52.8
2012,2,6,174.3
2012,3,7,79.2
2012,3,8,61.6
2012,3,9,187.2
2012,4,10,74.7
2012,4,11,184.3
2012,4,12,90.1
2013,1,1,115.4
2013,1,2,29.7
2013,1,3,51.5
2013,2,4,65.2
2013,2,5,33.5
2013,2,6,122.0
2013,3,7,7.4
2013,3,8,37.9
2013,3,9,85.3
2013,4,10,88.5
2013,4,11,83.2
2013,4,12,57.4
2014,1,1,39.0
2014,1,2,24.0
2014,1,3,99.9
2014,2,4,67.9
2014,2,5,15.7
2014,2,6,31.9
2014,3,7,45.0
2014,3,8,19.7
2014,3,9,66.0
2014,4,10,47.9
2014,4,11,108.4
2014,4,12,18.7
2015,1,1,22.8
2015,1,2,30.4
2015,1,3,44.1
2015,2,4,12.0
2015,2,5,8.0
2015,2,6,37.0
2015,3,7,30.0
2015,3,8,16.0
2015,3,9,30.7
2015,4,10,56.2
2015,4,11,197.4
2015,4,12,46.7
2016,1,1,52.1
2016,1,2,91.6
2016,1,3,181.3
2016,2,4,46.7
2016,2,5,105.1
2016,2,6,58.6
2016,3,7,105.1
2016,3,8,140.7
2016,3,9,113.8
2016,4,10,50.4
2016,4,11,87.0
2016,4,12,108.0
2017,1,1,452.2
2017,1,2,286.8
2017,1,3,641.3
2017,2,4,173.0
2017,2,5,112.1
2017,2,6,264.2
2017,3,7,268.4
2017,3,8,183.1
2017,3,9,389.5
2017,4,10,167.6
2017,4,11,249.2
2017,4,12,297.2
2018,1,1,280.2
2018,1,2,110.0
2018,1,3,543.4
2018,2,4,502.9
2018,2,5,208.3
2018,2,6,444.1
2018,3,7,632.8
2018,3,8,500.0
2018,3,9,833.2
2018,4,10,663.7
2018,4,11,1071.7
2018,4,12,363.7
2019,1,1,437.2
2019,1,2,439.8
2019,1,3,905.4
2019,2,4,392.1
2019,2,5,513.9
2019,2,6,1425.2
2019,3,7,598.0
2019,3,8,665.9
2019,3,9,646.7
2019,4,10,487.7
2019,4,11,879.8
2019,4,12,859.9
2020,1,1,350.3
2020,1,2,132.6
2020,1,3,105.9
2020,2,4,193.1
2020,2,5,547.3
2020,2,6,473.9
2020,3,7,340.8
2020,3,8,624.2
2020,3,9,629.9
2020,4,10,389.3
2020,4,11,1287.6
2020,4,12,591.8
2021,1,1,465.8
2021,1,2,172.0
2021,1,3,327.4
2021,2,4,226.6
2021,2,5,235.1
2021,2,6,146.6
2021,3,7,120.2
2021,3,8,315.5
2021,3,9,236.3
2021,4,10,249.4
2021,4,11,520.6
2021,4,12,318.9
2022,1,1,415.0
2022,1,2,184.3
2022,1,3,333.6
2022,2,4,241.7
2022,2,5,286.8
2022,2,6,251.3
2022,3,7,131.2
2022,3,8,96.6
2022,3,9,255.6
2022,4,10,125.1
2022,4,11,504.9
2022,4,12,235.1
2023,1,1,113.6
2023,1,2,293.4
2023,1,3,319.6
2023,2,4,207.8
2023,2,5,120.9
2023,2,6,244.3
2023,3,7,174.0
2023,3,8,269.2
2023,3,9,99.2
2023,4,10,219.9
2023,4,11,350.4
2023,4,12,240.9
2024,1,1,249.6
2024,1,2,100.0
2024,1,3,282.0
2024,2,4,105.0
2024,2,5,221.0
2024,2,6,104.2
2024,3,7,202.9
2024,3,8,140.0
2024,3,9,156.3
2024,4,10,102.0
2024,4,11,264.5
2024,4,12,489.8
2025,1,1,281.9
2025,1,2,343.0
2025,1,3,708.1
