year,month,gfcf
1980,2,-1.168903938
1980,3,-1.780066627
1980,4,-1.765876514
1980,5,-1.571311915
1980,6,-1.369862836
1980,7,-0.947296938
1980,8,-0.872498585
1980,9,-0.721934695
1980,10,-0.615549351
1980,11,-0.32417265
1980,12,-0.494307774
1981,1,-0.618463842
1981,2,-0.611642853
1981,3,-0.360917695
1981,4,-0.304687933
1981,5,-0.339378016
1981,6,-0.483805856
1981,7,-0.734718907
1981,8,-0.97348454
1981,9,-1.470459327
1981,10,-1.376373515
1981,11,-1.180082683
1981,12,-1.234154115
1982,1,-1.421891093
1982,2,-1.798133701
1982,3,-1.959678195
1982,4,-1.863306613
1982,5,-2.013415294
1982,6,-2.238238107
1982,7,-2.258027654
1982,8,-1.942112407
1982,9,-1.939225917
1982,10,-1.527421893
1982,11,-1.306257364
1982,12,-1.200031666
1983,1,-1.098573687
1983,2,-0.977971163
1983,3,-0.858990159
1983,4,-0.581679622
1983,5,-0.473674719
1983,6,-0.388088824
1983,7,-0.53022732
1983,8,-0.558877586
1983,9,-0.556713627
1983,10,-0.812248958
1983,11,-0.601308408
1983,12,-0.508378913
1984,1,-0.617493986
1984,2,-0.775748437
1984,3,-0.716271843
1984,4,-0.792461143
1984,5,-1.190918556
1984,6,-1.22878472
1984,7,-1.39891651
1984,8,-0.964651888
1984,9,-1.113883624
1984,10,-1.197147597
1984,11,-1.319847725
1984,12,-1.257941754
1985,1,-0.886467187
1985,2,-1.015262836
1985,3,-1.088578171
1985,4,-1.172728778
1985,5,-1.112836673
1985,6,-1.137046218
1985,7,-0.997176539
1985,8,-1.078159153
1985,9,-1.288471408
1985,10,-1.133379775
1985,11,-0.8778519
1985,12,-0.872094123
1986,1,-0.892685107
1986,2,-0.744613742
1986,3,-0.600991174
1986,4,-0.435059185
1986,5,-0.483396038
1986,6,-0.583778704
1986,7,-1.172452974
1986,8,-0.981605189
1986,9,-1.165134677
1986,10,-1.047702817
1986,11,-1.042200688
1986,12,-1.059291016
1987,1,-0.613960856
1987,2,-0.335684783
1987,3,-0.214434854
1987,4,-0.159350908
1987,5,-0.045698541
1987,6,0.13823569
1987,7,0.398942493
1987,8,0.443828045
1987,9,0.482291486
1987,10,-0.996904266
1987,11,-1.249189124
1987,12,-0.825679554
1988,1,-0.830800314
1988,2,-0.606735535
1988,3,-0.441992805
1988,4,-0.399311093
1988,5,-0.499414086
1988,6,-0.315863985
1988,7,-0.348976081
1988,8,-0.604569905
1988,9,-0.568343955
1988,10,-0.611422839
1988,11,-0.649914395
1988,12,-0.59541772
1989,1,-0.307124745
1989,2,-0.35896443
1989,3,-0.332648214
1989,4,-0.199152978
1989,5,-0.161201235
1989,6,-0.271590416
1989,7,-0.034654922
1989,8,0.027184312
1989,9,-0.065637113
1989,10,-0.344491811
1989,11,-0.364014307
1989,12,-0.306243481
1990,1,-0.439596685
1990,2,-0.391148578
1990,3,-0.358365339
1990,4,-0.533613204
1990,5,-0.218241018
1990,6,-0.242922697
1990,7,-0.304370449
1990,8,-0.831697795
1990,9,-1.32737956
1990,10,-1.524014006
1990,11,-1.363589432
1990,12,-1.250677071
1991,1,-0.99100641
1991,2,-0.636246295
1991,3,-0.579379285
1991,4,-0.532552609
1991,5,-0.405102019
1991,6,-0.592972117
1991,7,-0.464919009
1991,8,-0.487991244
1991,9,-0.563630932
1991,10,-0.541298158
1991,11,-0.877334677
1991,12,-0.65343041
1992,1,-0.507811464
1992,2,-0.490052261
1992,3,-0.64479872
1992,4,-0.554722972
1992,5,-0.506722714
1992,6,-0.698369739
1992,7,-0.77427048
1992,8,-0.977295463
1992,9,-1.077278543
1992,10,-1.093517485
1992,11,-0.971239932
1992,12,-0.886812832
1993,1,-0.816108892
1993,2,-0.828813501
1993,3,-0.623299454
1993,4,-0.543640641
1993,5,-0.405038766
1993,6,-0.457778388
1993,7,-0.398520061
1993,8,-0.212270723
1993,9,-0.245524536
1993,10,-0.127450511
1993,11,-0.233240052
1993,12,0.02059991
1994,1,0.2825178
1994,2,0.205199763
1994,3,-0.039654063
1994,4,-0.018661985
1994,5,0.000244177
1994,6,-0.11067002
1994,7,-0.013158479
1994,8,0.11705698
1994,9,0.027687771
1994,10,0.121513731
1994,11,-0.151952912
1994,12,-0.141486546
1995,1,-0.300857
1995,2,-0.162603494
1995,3,-0.023918623
1995,4,0.075578112
1995,5,0.140372577
1995,6,0.246271
1995,7,0.455983491
1995,8,0.41505112
1995,9,0.446418214
1995,10,0.301498334
1995,11,0.4110719
1995,12,0.394930247
1996,1,0.406636117
1996,2,0.486297248
1996,3,0.5488609
1996,4,0.743983734
1996,5,0.76218211
1996,6,0.639996154
1996,7,0.386068616
1996,8,0.546634003
1996,9,0.701725839
1996,10,0.754142434
1996,11,1.053556244
1996,12,1.039890039
1997,1,1.172602118
1997,2,1.17828397
1997,3,1.062427705
1997,4,1.19246844
1997,5,1.491145443
1997,6,1.618873984
1997,7,1.906576211
1997,8,1.781039492
1997,9,1.978555487
1997,10,1.577939451
1997,11,1.504274302
1997,12,1.424498281
1998,1,1.386204161
1998,2,1.730363741
1998,3,1.844353856
1998,4,1.913414632
1998,5,1.641411677
1998,6,1.44995719
1998,7,1.222325149
1998,8,0.136734669
1998,9,0.239489218
1998,10,0.621929307
1998,11,0.854961131
1998,12,0.918296279
1999,1,0.993795781
1999,2,0.894041241
1999,3,1.098730956
1999,4,1.553831704
1999,5,1.366398412
1999,6,1.618365457
1999,7,1.524831362
1999,8,1.464575008
1999,9,1.323313037
1999,10,1.324269216
1999,11,1.447409237
