stkcd,year,ind
000002,2008,K
000002,2009,K
000002,2010,K
000002,2011,K
000002,2012,K
000002,2013,K
000002,2014,K
000002,2015,K
000002,2016,K
000002,2017,K
000002,2018,K
000002,2019,K
000002,2020,K
000002,2021,K
000002,2022,K
000002,2023,K
000004,2011,C27
000004,2012,C27
000004,2013,C27
000004,2014,C27
000004,2015,C27
000004,2016,C27
000004,2017,C27
000004,2018,C27
000004,2019,C27
000004,2020,I
000004,2021,I
000004,2023,I
000005,2008,S
000005,2009,S
000005,2010,S
000005,2011,S
000005,2012,K
000005,2013,K
000005,2014,K
000005,2015,K
000005,2016,N
000005,2017,N
000005,2018,N
000005,2019,N
000005,2020,N
000006,2008,K
000006,2009,K
000006,2010,K
000006,2011,K
000006,2012,K
000006,2013,K
000006,2014,K
000006,2015,K
000006,2016,K
000006,2017,K
000006,2018,K
000006,2019,K
000006,2020,K
000006,2021,K
000006,2022,K
000006,2023,K
000007,2012,H
000007,2013,H
000007,2014,H
000007,2015,H
000007,2016,H
000007,2017,K
000007,2018,K
000007,2019,K
000007,2020,K
000007,2022,K
000008,2013,H
000008,2014,H
000008,2015,C37
000008,2016,C37
000008,2017,C37
000008,2018,C37
000008,2019,C37
000008,2020,C37
000008,2021,C37
000008,2022,C37
000008,2023,C37
000009,2008,S
000009,2009,S
000009,2010,S
000009,2011,S
000009,2012,S
000009,2013,S
000009,2014,S
000009,2015,S
000009,2016,S
000009,2017,S
000009,2018,S
000009,2019,S
000009,2020,S
000009,2021,S
000009,2022,S
000009,2023,S
000010,2013,C35
000010,2014,C35
000010,2015,E
000010,2016,E
000010,2017,E
000010,2018,E
000010,2020,E
000010,2021,E
000010,2022,E
000010,2023,E
000011,2009,S
000011,2010,K
000011,2011,K
000011,2012,K
000011,2013,K
000011,2014,K
000011,2015,K
000011,2016,K
000011,2017,K
000011,2018,K
000011,2019,K
000011,2020,K
000011,2021,K
000011,2022,K
000011,2023,K
000012,2008,C30
000012,2009,C30
000012,2010,C30
000012,2011,C30
000012,2012,C30
000012,2013,C30
000012,2014,C30
000012,2015,C30
000012,2016,C30
000012,2017,C30
000012,2018,C30
000012,2019,C30
000012,2020,C30
000012,2021,C30
000012,2022,C30
000012,2023,C30
000014,2008,K
000014,2009,K
000014,2010,K
000014,2011,K
000014,2012,K
000014,2013,K
000014,2014,K
000014,2015,K
000014,2016,K
000014,2017,K
000014,2018,K
000014,2019,K
000014,2020,K
000014,2021,K
000014,2022,K
000014,2023,K
000016,2008,C39
000016,2009,C39
000016,2010,C39
000016,2011,C39
000016,2012,C39
000016,2013,C39
000016,2014,C39
000016,2015,C39
000016,2016,C39
000016,2017,C39
000016,2018,C39
000016,2019,C39
000016,2020,C39
000016,2021,C39
000016,2022,C39
000016,2023,C39
000017,2014,C37
000017,2015,C37
000017,2016,C37
000017,2017,C37
000017,2018,C37
000017,2019,C37
000017,2021,C37
000017,2022,C37
000017,2023,C37
000018,2014,C17
000018,2015,C17
000018,2016,E
000018,2017,E
000018,2018,E
000019,2008,C15
000019,2009,C15
000019,2010,C15
000019,2011,C15
000019,2012,C15
000019,2013,C15
000019,2014,C15
000019,2015,C15
000019,2016,C15
000019,2017,C15
000019,2018,C15
000019,2019,F
000019,2020,F
000019,2021,F
000019,2022,F
000019,2023,F
000020,2009,C39
000020,2010,C39
000020,2011,C39
000020,2012,C39
000020,2013,C39
000020,2014,C39
000020,2015,C39
000020,2016,C39
000020,2017,C39
000020,2018,C39
000020,2019,C39
000020,2020,C39
000020,2021,C39
000020,2022,C39
000020,2023,C39
000021,2008,C39
000021,2009,C39
000021,2010,C39
000021,2011,C39
000021,2012,C39
000021,2013,C39
000021,2014,C39
000021,2015,C39
000021,2016,C39
000021,2017,C39
000021,2018,C39
000021,2019,C39
000021,2020,C39
000021,2021,C39
000021,2022,C39
000021,2023,C39
000022,2008,G
000022,2009,G
000022,2010,G
000022,2011,G
000022,2012,G
000022,2013,G
000022,2014,G
000022,2015,G
000022,2016,G
000022,2017,G
000023,2008,E
000023,2009,E
000023,2010,E
000023,2011,E
000023,2012,C30
000023,2013,C30
000023,2014,C30
000023,2015,C30
000023,2016,C30
000023,2017,C30
000023,2018,C30
000023,2019,C30
000023,2020,C30
000023,2021,C30
000023,2022,C30
000024,2008,K
000024,2009,K
000024,2010,K
000024,2011,K
000024,2012,K
000024,2013,K
000024,2014,K
000025,2008,S
000025,2009,S
000025,2010,F
000025,2011,F
000025,2012,F
000025,2013,F
000025,2014,F
000025,2015,F
000025,2016,F
000025,2017,F
000025,2018,F
000025,2019,F
000025,2020,F
000025,2021,F
000025,2022,F
000025,2023,F
000026,2008,C35
000026,2009,C35
000026,2010,F
000026,2011,F
000026,2012,F
000026,2013,F
000026,2014,F
000026,2015,F
000026,2016,F
000026,2017,F
000026,2018,F
000026,2019,F
000026,2020,F
000026,2021,F
000026,2022,F
000026,2023,F
000027,2008,D
000027,2009,D
000027,2010,D
000027,2011,D
000027,2012,D
000027,2013,D
000027,2014,D
000027,2015,D
000027,2016,D
000027,2017,D
000027,2018,D
000027,2019,D
000027,2020,D
000027,2021,D
000027,2022,D
000027,2023,D
000028,2008,C27
000028,2009,C27
000028,2010,F
000028,2011,F
000028,2012,F
000028,2013,F
000028,2014,F
000028,2015,F
000028,2016,F
000028,2017,F
000028,2018,F
000028,2019,F
000028,2020,F
000028,2021,F
000028,2022,F
000028,2023,F
000029,2008,K
000029,2009,K
000029,2010,K
000029,2011,K
000029,2012,K
000029,2013,K
000029,2014,K
000029,2015,K
000029,2016,K
000029,2017,K
000029,2018,K
000029,2019,K
000029,2020,K
000029,2021,K
000029,2022,K
000029,2023,K
000030,2013,C41
000030,2014,C36
000030,2015,C36
000030,2016,C36
000030,2017,C36
000030,2018,C36
000030,2019,C36
000030,2020,C36
000030,2021,C36
000030,2022,C36
000030,2023,C36
000031,2008,K
000031,2009,K
000031,2010,K
000031,2011,K
000031,2012,K
000031,2013,K
000031,2014,K
000031,2015,K
000031,2016,K
000031,2017,K
000031,2018,K
000031,2019,K
000031,2020,K
000031,2021,K
000031,2022,K
000031,2023,K
000032,2008,C39
000032,2009,C39
000032,2010,C39
000032,2011,C39
000032,2012,C39
000032,2013,C39
000032,2014,C39
000032,2015,F
000032,2016,F
000032,2017,F
000032,2018,F
000032,2019,F
000032,2020,F
000032,2021,E
000032,2022,E
000032,2023,E
000033,2008,H
000033,2009,H
000033,2010,H
000033,2011,H
000033,2012,H
000033,2013,H
000034,2011,S
000034,2012,S
000034,2013,S
000034,2014,S
000034,2015,S
000034,2016,F
000034,2017,F
000034,2018,F
000034,2019,F
000034,2020,F
000034,2021,F
000034,2022,F
000034,2023,F
000035,2014,N
000035,2015,N
000035,2016,N
000035,2017,N
000035,2018,N
000035,2019,N
000035,2020,N
000035,2021,N
000035,2022,N
000035,2023,N
000036,2008,C17
000036,2010,K
000036,2011,K
000036,2012,K
000036,2013,K
000036,2014,K
000036,2015,K
000036,2016,K
000036,2017,K
000036,2018,K
000036,2019,K
000036,2020,K
000036,2021,K
000036,2022,K
000036,2023,K
000037,2008,D
000037,2009,D
000037,2010,D
000037,2011,D
000037,2012,D
000037,2013,D
000037,2014,D
000037,2015,D
000037,2017,D
000037,2018,D
000037,2019,D
000037,2020,D
000037,2021,D
000037,2022,D
000037,2023,D
000038,2013,K
000038,2014,K
000038,2015,K
000038,2016,L
000038,2017,L
000038,2018,L
000038,2019,L
000038,2020,L
000038,2021,L
000039,2008,C33
000039,2009,C33
000039,2010,C33
000039,2011,C33
000039,2012,C33
000039,2013,C33
000039,2014,C33
000039,2015,C33
000039,2016,C33
000039,2017,C33
000039,2018,C33
000039,2019,C33
000039,2020,C33
000039,2021,C33
000039,2022,C33
000039,2023,C33
000040,2008,S
000040,2009,S
000040,2010,K
000040,2011,K
000040,2012,K
000040,2013,K
000040,2014,K
000040,2015,K
000040,2016,K
000040,2017,E
000040,2018,D
000040,2019,D
000040,2020,D
000040,2021,D
000040,2022,D
000040,2023,D
000042,2008,K
000042,2009,K
000042,2010,K
000042,2011,K
000042,2012,K
000042,2013,K
000042,2014,K
000042,2015,K
000042,2016,K
000042,2017,K
000042,2018,K
000042,2019,K
000042,2020,K
000042,2021,K
000042,2022,K
000042,2023,K
000043,2008,S
000043,2009,S
000043,2010,K
000043,2011,K
000043,2012,K
000043,2013,K
000043,2014,K
000043,2015,K
000043,2016,K
000043,2017,K
000043,2018,K
000045,2008,C17
000045,2009,C17
000045,2010,C17
000045,2011,S
000045,2012,F
000045,2013,F
000045,2014,F
000045,2015,C39
000045,2016,C39
000045,2017,C39
000045,2018,C39
000045,2019,C39
000045,2020,C39
000045,2021,C39
000045,2022,C39
000045,2023,C39
000046,2008,K
000046,2009,K
000046,2010,K
000046,2011,K
000046,2012,K
000046,2013,K
000046,2014,K
000046,2015,K
000046,2016,K
000046,2017,K
000046,2018,K
000046,2019,K
000048,2012,C13
000048,2013,C13
000048,2014,C13
000048,2015,C13
000048,2016,C13
000048,2017,C13
000048,2019,C13
000048,2020,C13
000048,2021,C13
000048,2022,C13
000048,2023,C13
000049,2008,C38
000049,2009,C38
000049,2010,C38
000049,2011,C38
