stkcd,year,month
000001.SZ,1991,4
000002.SZ,1991,1
000063.SZ,1997,11
000157.SZ,2000,10
000301.SZ,2000,5
000333.SZ,2013,9
000338.SZ,2007,4
000425.SZ,1996,8
000538.SZ,1993,12
000568.SZ,1994,5
000625.SZ,1997,6
000630.SZ,1996,11
000651.SZ,1996,11
000661.SZ,1996,12
000708.SZ,1997,3
000768.SZ,1997,6
000786.SZ,1997,6
000800.SZ,1997,6
000807.SZ,1998,4
000858.SZ,1998,4
000876.SZ,1998,3
000895.SZ,1998,12
000938.SZ,1999,11
000963.SZ,2000,1
000975.SZ,2000,6
000977.SZ,2000,6
000983.SZ,2000,7
000999.SZ,2000,3
001289.SZ,2022,1
001965.SZ,2017,12
001979.SZ,2015,12
002001.SZ,2004,6
002007.SZ,2004,6
002027.SZ,2004,8
002028.SZ,2004,8
002049.SZ,2005,6
002050.SZ,2005,6
002074.SZ,2006,10
002129.SZ,2007,4
002142.SZ,2007,7
002179.SZ,2007,11
002180.SZ,2007,11
002230.SZ,2008,5
002236.SZ,2008,5
002241.SZ,2008,5
002252.SZ,2008,6
002271.SZ,2008,9
002304.SZ,2009,11
002311.SZ,2009,11
002352.SZ,2010,2
002371.SZ,2010,3
002415.SZ,2010,5
002422.SZ,2010,6
002460.SZ,2010,8
002463.SZ,2010,8
002466.SZ,2010,8
002475.SZ,2010,9
002493.SZ,2010,11
002555.SZ,2011,3
002594.SZ,2011,6
002601.SZ,2011,7
002648.SZ,2011,12
002709.SZ,2014,1
002714.SZ,2014,1
002812.SZ,2016,9
002916.SZ,2017,12
002920.SZ,2017,12
002938.SZ,2018,9
003816.SZ,2019,8
300014.SZ,2009,10
300015.SZ,2009,10
300033.SZ,2009,12
300122.SZ,2010,9
300124.SZ,2010,9
300274.SZ,2011,11
300308.SZ,2012,4
300316.SZ,2012,5
300347.SZ,2012,8
300394.SZ,2015,2
300408.SZ,2014,12
300413.SZ,2015,1
300418.SZ,2015,1
300433.SZ,2015,3
300442.SZ,2015,4
300450.SZ,2015,5
300498.SZ,2015,11
300502.SZ,2016,3
300628.SZ,2017,3
300661.SZ,2017,6
300750.SZ,2018,6
300759.SZ,2019,1
300760.SZ,2018,10
300782.SZ,2019,6
300832.SZ,2020,5
300896.SZ,2020,9
300979.SZ,2021,4
300999.SZ,2020,10
301269.SZ,2022,7
600000.SH,1999,11
600009.SH,1998,2
600010.SH,2001,3
600011.SH,2001,12
600015.SH,2003,9
600016.SH,2000,12
600018.SH,2006,10
600019.SH,2000,12
600023.SH,2013,12
600025.SH,2017,12
600026.SH,2002,5
600027.SH,2005,2
600028.SH,2001,8
600029.SH,2003,7
600031.SH,2003,7
600036.SH,2002,4
600039.SH,2003,3
600048.SH,2006,7
600050.SH,2002,10
600066.SH,1997,5
600085.SH,1997,6
600089.SH,1997,6
600104.SH,1997,11
600111.SH,1997,9
600160.SH,1998,6
600161.SH,1998,6
600176.SH,1999,4
600183.SH,1998,10
600188.SH,1998,7
600196.SH,1998,8
600219.SH,1999,12
600233.SH,2000,6
600276.SH,2000,10
600309.SH,2001,1
600332.SH,2001,2
600362.SH,2002,1
600377.SH,2001,1
600406.SH,2003,10
600415.SH,2002,5
600426.SH,2002,6
600436.SH,2003,6
600438.SH,2004,3
600460.SH,2003,3
600482.SH,2004,7
600489.SH,2003,8
600519.SH,2001,8
600547.SH,2003,8
600570.SH,2003,12
600584.SH,2003,6
600585.SH,2002,2
600588.SH,2001,5
600600.SH,1993,8
600660.SH,1993,6
600674.SH,1993,9
600690.SH,1993,11
600741.SH,1996,8
600795.SH,1997,3
600803.SH,1994,1
600809.SH,1994,1
600875.SH,1995,10
600900.SH,2003,11
600905.SH,2021,6
600919.SH,2016,8
600926.SH,2016,10
600938.SH,2022,4
600941.SH,2022,1
600989.SH,2019,5
601006.SH,2006,8
601009.SH,2007,7
601012.SH,2012,4
